ax,ay,az,gx,gy,gz,label
0.03,0.14,0.96,-0.61,5.86,9.52,m
0.03,0.14,0.97,2.69,8.24,10.93,m
0.03,0.14,0.96,3.91,11.35,10.44,m
0.04,0.13,0.95,2.50,14.65,8.97,m
0.02,0.14,0.98,2.14,13.79,8.73,m
0.00,0.17,1.02,1.46,18.43,6.84,m
0.00,0.17,1.02,4.46,27.53,5.55,m
0.06,0.15,1.02,7.45,36.32,7.08,m
0.15,0.11,0.97,16.36,41.38,13.67,m
0.21,0.04,0.97,22.89,27.59,17.82,m
0.28,0.02,0.98,15.38,26.31,18.68,m
0.41,0.03,1.02,3.42,26.79,13.92,m
0.54,0.05,1.08,-8.18,22.40,8.24,m
0.57,0.04,1.14,-7.14,15.20,-1.53,m
0.53,-0.03,1.20,2.01,3.91,1.46,m
0.43,-0.10,1.25,1.04,12.70,6.10,m
0.44,-0.09,1.17,-3.85,32.90,16.91,m
0.55,0.14,1.00,5.07,42.05,34.79,m
0.67,0.14,0.84,28.63,38.45,48.16,m
0.64,0.02,0.64,43.88,20.87,56.52,m
0.54,-0.03,0.51,24.78,-0.61,47.79,m
0.35,0.08,0.48,5.49,-34.42,41.93,m
0.01,0.22,0.61,-8.48,-69.52,30.33,m
-0.24,0.34,0.65,-9.58,-73.55,20.45,m
-0.54,0.35,0.72,10.50,-76.72,22.71,m
-0.73,0.29,0.74,17.82,-58.04,13.37,m
-0.79,0.35,0.86,-7.81,-28.50,-18.62,m
-0.82,0.50,1.00,-22.58,-1.71,-45.41,m
-0.68,0.53,1.08,2.69,30.15,-62.99,m
-0.47,0.22,0.87,52.92,57.25,-58.47,m
-0.25,-0.04,0.71,68.91,60.42,-41.81,m
-0.06,0.03,0.60,53.10,52.19,-40.53,m
0.00,0.12,0.60,31.62,33.08,-62.07,m
-0.04,0.16,0.77,24.41,13.55,-78.98,m
-0.15,0.11,0.80,23.86,35.83,-91.00,m
0.01,-0.03,0.64,21.85,35.22,-102.97,m
0.09,-0.20,0.88,20.45,18.07,-98.88,m
0.20,-0.32,0.78,26.61,31.31,-89.05,m
0.27,-0.53,0.70,17.40,30.15,-83.50,m
0.36,-0.70,0.87,10.99,21.61,-56.46,m
0.49,-0.76,0.91,6.59,37.66,-29.17,m
0.64,-0.64,0.80,-9.95,34.79,-21.12,m
0.62,-0.67,0.96,-30.21,-2.44,-28.69,m
0.64,-0.57,1.05,-54.99,-11.78,-41.63,m
0.70,-0.45,1.15,-53.47,-33.81,-39.31,m
0.53,-0.34,1.33,-20.81,-58.72,-32.35,m
0.36,-0.30,1.36,-6.71,-35.95,-14.95,m
0.39,-0.25,1.18,-9.70,-9.28,-9.09,m
0.53,-0.09,1.09,-8.97,-16.48,-5.00,m
0.39,-0.12,1.09,-3.11,-26.37,-10.74,m
0.28,-0.22,1.01,-14.95,-20.45,-8.48,m
0.25,-0.06,0.98,-14.77,-14.95,18.13,m
0.21,0.05,0.87,15.99,-4.33,38.51,m
0.09,0.00,0.80,67.69,5.31,70.37,m
0.16,-0.00,0.46,104.25,38.45,95.58,m
0.22,-0.08,0.22,88.32,22.95,78.61,m
-0.19,-0.36,0.41,25.51,-46.69,22.09,m
-0.60,-0.46,0.78,-17.21,-83.68,11.05,m
-0.63,-0.37,0.97,-12.27,-53.59,30.46,m
-0.52,-0.32,0.96,-16.11,-30.21,22.52,m
-0.46,-0.25,0.99,-31.68,-28.32,11.84,m
-0.45,-0.19,1.05,-43.64,-27.40,-1.46,m
-0.41,-0.10,1.08,-31.13,-8.79,-3.30,m
-0.28,-0.05,1.07,-13.73,16.36,-10.25,m
-0.24,-0.15,1.01,-0.12,31.13,-20.69,m
-0.31,-0.28,0.98,-3.30,31.80,-33.08,m
-0.30,-0.19,0.96,-16.78,31.80,-43.27,m
-0.34,-0.13,0.91,-28.69,27.40,-65.55,m
-0.53,-0.25,0.89,-40.34,17.09,-89.11,m
-0.50,-0.11,0.83,-47.12,26.18,-100.28,m
-0.46,0.06,0.72,-54.44,30.76,-139.47,m
