ax,ay,az,gx,gy,gz,label
-0.06,0.19,0.93,-2.14,5.49,5.80,o
-0.06,0.18,0.93,-2.26,4.88,5.68,o
-0.05,0.20,0.92,-2.56,4.39,6.23,o
-0.05,0.22,0.93,-2.14,3.78,6.90,o
-0.06,0.20,0.93,-1.40,3.36,5.80,o
-0.06,0.20,0.93,-0.79,3.72,5.62,o
-0.07,0.20,0.93,-0.43,3.60,5.07,o
-0.07,0.20,0.93,-0.49,4.03,3.60,o
-0.07,0.19,0.92,0.12,5.31,2.56,o
-0.06,0.18,0.91,0.67,5.13,3.60,o
-0.05,0.19,0.92,-0.43,3.97,3.54,o
-0.05,0.19,0.92,-0.24,3.11,5.07,o
-0.06,0.19,0.93,-1.59,3.05,5.37,o
-0.06,0.21,0.93,-1.89,2.87,4.52,o
-0.06,0.21,0.93,-0.98,2.69,2.44,o
-0.07,0.20,0.93,-0.67,2.62,2.99,o
-0.06,0.21,0.93,0.18,3.17,3.54,o
-0.06,0.19,0.92,0.24,3.36,0.49,o
-0.06,0.19,0.92,0.12,3.66,0.98,o
-0.07,0.20,0.93,0.24,2.81,2.20,o
-0.07,0.20,0.93,0.67,2.99,2.14,o
-0.07,0.19,0.92,0.24,3.85,2.14,o
-0.03,0.15,0.89,-4.03,1.34,2.99,o
-0.03,0.18,0.90,-9.46,-7.14,7.14,o
-0.05,0.23,0.92,-9.03,-11.35,7.45,o
-0.06,0.22,0.92,-7.20,-13.37,0.37,o
-0.12,0.19,0.93,-5.25,-11.96,1.46,o
-0.11,0.17,0.95,-7.32,-12.27,13.31,o
-0.07,0.17,0.89,-6.29,-13.79,28.87,o
-0.08,0.19,0.89,-8.85,-22.40,39.67,o
-0.11,0.22,0.90,-8.42,-28.69,45.35,o
-0.18,0.29,0.94,-6.41,-27.40,37.54,o
-0.21,0.32,0.95,-1.53,-15.32,12.88,o
-0.22,0.25,0.93,3.60,-3.78,-7.75,o
-0.19,0.20,0.89,5.00,-2.20,-4.88,o
-0.20,0.21,0.90,4.03,-5.62,4.58,o
-0.21,0.23,0.90,3.91,-4.88,1.89,o
-0.23,0.19,0.90,2.75,-1.34,-2.81,o
-0.22,0.19,0.89,0.61,2.01,0.18,o
-0.21,0.21,0.90,-0.37,1.46,3.60,o
-0.21,0.22,0.90,0.37,1.65,2.87,o
-0.21,0.22,0.90,-0.18,2.75,1.95,o
-0.20,0.22,0.90,-1.40,2.93,0.49,o
-0.21,0.21,0.90,-1.34,2.75,1.40,o
-0.20,0.21,0.90,-1.22,2.62,3.11,o
-0.20,0.22,0.90,-2.32,0.98,2.50,o
-0.21,0.22,0.91,-1.22,1.59,2.62,o
-0.18,0.22,0.89,-0.61,3.30,3.72,o
-0.19,0.22,0.90,-0.85,1.16,2.56,o
-0.20,0.21,0.90,-1.40,0.67,2.75,o
-0.20,0.22,0.90,-1.71,-0.31,3.30,o
-0.22,0.23,0.91,-1.65,0.61,2.93,o
-0.20,0.23,0.90,0.06,1.46,1.65,o
-0.21,0.21,0.89,0.12,0.49,2.32,o
-0.21,0.21,0.90,-1.04,-0.55,3.85,o
-0.22,0.22,0.90,-0.43,0.43,3.30,o
-0.22,0.23,0.90,-1.34,1.28,2.14,o
-0.22,0.22,0.90,-1.04,0.67,3.78,o
-0.22,0.21,0.89,-0.31,1.28,4.70,o
-0.17,0.19,0.85,-5.25,-2.26,4.64,o
-0.23,0.20,0.90,-11.05,-10.44,6.71,o
-0.21,0.23,0.87,-10.86,-9.58,9.89,o
-0.23,0.21,0.91,-11.35,-13.31,12.45,o
-0.24,0.20,0.88,-9.83,-14.40,28.38,o
-0.23,0.20,0.87,-11.60,-19.53,41.32,o
-0.27,0.25,0.88,-11.66,-23.86,44.07,o
-0.30,0.30,0.89,-7.93,-22.16,36.93,o
-0.33,0.28,0.88,-5.07,-14.16,21.18,o
-0.35,0.26,0.87,-1.10,-9.03,15.38,o
-0.35,0.25,0.86,-0.85,-6.96,14.89,o
-0.35,0.23,0.85,-2.50,-7.93,15.87,o
-0.35,0.25,0.85,-1.16,-9.28,18.43,o
-0.38,0.24,0.85,-1.28,-6.90,12.27,o
-0.38,0.24,0.85,-1.22,-2.81,6.84,o
-0.37,0.23,0.84,-0.67,-0.61,6.16,o
-0.37,0.21,0.84,-2.50,-1.77,8.36,o
-0.37,0.23,0.85,-3.72,-4.52,16.24,o
-0.37,0.22,0.85,-4.82,-4.64,18.74,o
-0.37,0.23,0.84,-4.46,-4.03,18.01,o
-0.36,0.23,0.84,-3.78,-4.27,17.15,o
-0.37,0.22,0.84,-4.46,-5.92,17.09,o
-0.39,0.25,0.85,-4.03,-7.08,20.08,o
-0.41,0.26,0.85,-1.95,-4.33,13.55,o
-0.40,0.25,0.84,-0.31,-1.28,5.07,o
-0.41,0.23,0.83,0.73,-0.92,3.60,o
-0.41,0.23,0.82,0.98,-0.92,4.33,o
-0.42,0.22,0.82,1.34,-1.65,5.07,o
-0.43,0.21,0.82,0.37,-1.77,6.47,o
-0.42,0.20,0.81,-1.04,-2.62,9.58,o
-0.44,0.21,0.82,-3.48,-3.66,13.06,o
-0.43,0.22,0.82,-3.72,-2.75,13.55,o
-0.43,0.23,0.82,-2.93,-3.36,12.39,o
-0.43,0.22,0.83,-2.44,-3.66,13.12,o
-0.44,0.21,0.82,-1.89,-4.39,13.06,o
-0.43,0.24,0.83,-1.16,-4.27,10.86,o
-0.45,0.24,0.82,-0.12,-1.34,6.47,o
-0.41,0.21,0.81,0.55,-0.06,3.91,o
-0.44,0.20,0.80,0.06,-3.17,6.90,o
-0.44,0.18,0.80,0.12,-8.97,14.40,o
-0.46,0.17,0.79,-3.91,-13.43,23.56,o
-0.47,0.18,0.79,-7.02,-17.27,31.92,o
-0.48,0.21,0.79,-7.93,-18.49,33.39,o
-0.50,0.23,0.80,-5.00,-15.50,29.48,o
-0.52,0.22,0.79,-4.27,-11.60,15.99,o
-0.54,0.20,0.79,-2.62,-10.31,13.31,o
-0.54,0.20,0.78,-1.59,-9.77,16.91,o
-0.55,0.19,0.77,-1.77,-7.93,14.71,o
-0.53,0.21,0.78,-1.22,-7.39,12.33,o
-0.55,0.19,0.76,-0.61,-9.52,12.02,o
-0.56,0.18,0.76,-0.79,-7.08,11.17,o
-0.57,0.18,0.76,0.00,-6.84,10.56,o
-0.58,0.17,0.76,0.37,-5.68,10.31,o
-0.57,0.17,0.74,-0.73,-5.43,9.03,o
-0.58,0.18,0.75,-0.18,-3.30,7.63,o
-0.57,0.18,0.75,0.12,-0.92,4.58,o
-0.59,0.16,0.75,-0.12,0.06,3.60,o
