ax,ay,az,gx,gy,gz,label
-0.13,-0.12,0.98,-0.06,4.46,10.62,o
-0.12,-0.15,1.01,1.22,4.27,8.91,o
-0.15,-0.18,1.04,2.93,2.62,7.69,o
-0.16,-0.25,1.09,10.07,2.99,8.54,o
-0.18,-0.32,1.12,11.72,3.11,9.58,o
-0.17,-0.40,1.09,11.54,1.89,9.09,o
-0.17,-0.40,1.06,4.33,-3.54,3.36,o
-0.19,-0.44,1.03,2.50,-4.88,-4.33,o
-0.17,-0.46,0.97,-4.70,-5.19,-10.93,o
-0.23,-0.29,0.97,-14.53,-6.10,-20.81,o
-0.28,-0.35,0.87,2.93,2.62,-22.46,o
-0.14,-0.48,0.80,-4.76,0.98,14.28,o
-0.05,-0.37,0.77,-31.62,-2.26,13.92,o
-0.02,-0.16,0.78,-42.60,-3.54,-3.72,o
0.01,-0.15,0.76,-24.54,6.65,-8.00,o
0.23,-0.08,0.86,-24.60,21.61,25.82,o
0.34,-0.06,0.84,-25.09,23.50,17.88,o
0.24,0.10,0.82,-40.47,8.42,-4.39,o
0.14,0.18,0.77,-47.49,-1.65,6.65,o
0.18,0.30,0.85,-49.26,-10.80,24.66,o
0.20,0.24,0.85,-16.11,-5.98,7.32,o
-0.05,0.15,0.62,-18.43,0.06,-9.95,o
-0.05,0.20,0.64,-44.19,-13.55,31.62,o
-0.05,0.36,0.71,-42.72,-21.06,42.18,o
-0.09,0.30,0.75,-21.48,-8.54,21.18,o
-0.09,0.22,0.72,-21.36,5.80,12.08,o
-0.19,0.23,0.72,-35.46,-1.83,9.03,o
-0.34,0.35,0.72,-47.55,-10.07,24.84,o
-0.33,0.32,0.76,-44.37,-8.85,45.53,o
-0.25,0.36,0.90,-39.49,-4.76,35.64,o
-0.29,0.45,0.91,-28.02,3.54,-7.14,o
-0.36,0.43,0.90,-16.30,10.86,-9.40,o
-0.21,0.37,0.91,-22.22,5.68,14.10,o
-0.24,0.53,0.96,-20.81,-5.92,-3.17,o
-0.41,0.53,0.92,-6.65,-1.65,-16.48,o
