ax,ay,az,gx,gy,gz,label
0.05,-0.21,0.95,-4.52,4.46,8.06,z
0.07,-0.25,0.98,-4.09,3.78,7.20,z
0.06,-0.33,1.03,-1.40,3.78,5.98,z
0.06,-0.48,1.08,3.30,3.54,5.37,z
0.08,-0.63,1.14,-2.26,-0.37,4.27,z
0.09,-0.65,1.12,-15.81,-0.37,-2.93,z
0.06,-0.57,1.08,-34.12,-9.77,-15.69,z
0.02,-0.45,0.99,-38.64,-19.84,-30.58,z
-0.03,-0.43,0.92,-29.97,-29.60,-43.64,z
-0.12,-0.49,0.75,-16.91,-38.57,-62.32,z
-0.32,-0.56,0.68,-19.10,-31.74,-78.74,z
-0.29,-0.47,0.73,-33.81,-8.12,-81.12,z
-0.13,-0.34,0.69,-43.52,28.26,-60.97,z
-0.06,-0.21,0.69,-55.24,52.25,-50.48,z
0.09,0.07,0.78,-65.86,59.33,-26.25,z
0.08,0.14,0.70,-47.06,49.93,-18.74,z
0.04,0.25,0.70,-23.44,105.96,-5.43,z
0.14,0.32,0.77,-20.14,89.29,24.96,z
0.19,0.22,0.74,-19.23,69.70,62.99,z
0.17,0.19,0.79,-22.40,56.58,70.31,z
0.13,0.21,0.66,-9.09,69.46,67.38,z
0.13,0.33,0.74,-11.66,87.83,68.54,z
0.31,0.42,0.75,-13.43,101.87,85.14,z
0.31,0.52,0.86,-3.36,103.09,84.35,z
0.49,0.62,0.82,-0.37,93.26,69.70,z
0.51,0.62,0.80,3.66,72.63,42.05,z
0.49,0.61,0.90,-14.22,39.06,37.54,z
0.53,0.69,0.90,-25.63,23.99,46.20,z
0.54,0.70,0.90,-15.75,-4.64,26.37,z
0.46,0.55,0.90,-3.54,-18.25,3.66,z
0.43,0.50,0.90,2.81,-15.69,-4.88,z
0.48,0.41,0.91,5.98,-16.78,-12.51,z
0.48,0.38,0.92,10.56,-17.46,-19.04,z
0.50,0.33,0.89,12.15,-17.09,-17.94,z
0.57,0.35,0.89,9.70,-16.78,-17.03,z
0.58,0.44,0.91,9.58,-22.34,-23.50,z
0.54,0.45,0.92,20.02,-31.74,-25.02,z
0.55,0.39,0.80,24.60,-37.11,-20.63,z
0.52,0.43,0.81,18.86,-37.60,-21.91,z
0.47,0.54,0.85,24.72,-30.88,-22.83,z
0.46,0.50,0.85,37.96,-32.84,-22.77,z
0.44,0.42,0.81,45.96,-44.86,-22.52,z
0.31,0.28,0.81,50.05,-51.64,-16.85,z
0.25,0.23,0.83,42.42,-50.54,3.66,z
0.26,0.23,0.81,41.14,-46.20,22.34,z
0.19,0.13,0.86,43.58,-43.27,26.67,z
0.16,-0.01,0.85,44.13,-28.56,27.65,z
0.16,-0.06,0.71,36.68,-23.19,23.44,z
0.01,-0.02,0.77,31.68,-23.07,16.54,z
-0.01,-0.12,0.82,42.97,-9.89,4.58,z
0.12,-0.27,0.69,43.82,10.01,5.62,z
0.14,-0.30,0.70,30.58,6.59,8.24,z
0.09,-0.25,0.74,23.56,-0.98,12.82,z
0.08,-0.28,0.63,24.54,-3.23,21.55,z
0.01,-0.36,0.62,21.97,-12.63,23.01,z
-0.10,-0.40,0.68,13.31,-14.65,11.11,z
-0.17,-0.41,0.79,20.57,-7.51,-5.92,z
-0.19,-0.54,0.78,36.38,8.48,-3.48,z
-0.22,-0.55,0.86,36.99,17.70,9.34,z
-0.16,-0.66,0.91,40.83,27.71,24.41,z
-0.05,-0.75,0.98,36.68,36.50,40.04,z
0.08,-0.81,1.00,27.89,35.34,38.94,z
0.11,-0.82,1.02,14.04,25.94,22.16,z
0.11,-0.72,1.07,-1.16,17.82,4.33,z
0.10,-0.60,1.04,-13.18,10.25,-2.81,z
0.09,-0.50,1.05,-18.98,6.29,-5.25,z
0.11,-0.46,1.00,-19.29,3.11,-10.13,z
0.06,-0.46,1.04,-18.37,-3.97,-5.92,z
0.07,-0.57,0.98,-15.08,3.97,2.44,z
0.08,-0.58,1.01,-24.72,11.23,16.11,z
0.13,-0.50,1.02,-28.38,27.16,31.80,z
0.17,-0.49,0.99,-29.97,38.15,46.75,z
0.25,-0.57,0.93,-49.44,36.99,62.81,z
0.35,-0.49,0.94,-84.59,20.02,74.52,z
0.29,-0.35,1.00,-95.40,5.98,62.62,z
0.26,-0.32,0.86,-89.11,10.19,41.63,z
0.20,-0.29,0.77,-94.48,11.54,24.72,z
0.22,-0.15,0.72,-94.18,15.26,24.78,z
0.28,-0.12,0.60,-77.03,12.76,21.00,z
0.31,-0.10,0.56,-68.18,2.14,11.90,z
0.36,-0.05,0.58,-77.27,-8.91,-6.35,z
0.32,0.21,0.56,-71.78,-6.29,-29.05,z
0.22,0.22,0.41,-40.22,3.42,-57.80,z
0.14,0.18,0.45,-55.24,5.74,-60.97,z
0.25,0.49,0.65,-71.35,13.31,-37.17,z
0.32,0.60,0.55,-47.06,26.61,-45.41,z
0.42,0.78,0.57,-37.29,48.58,-78.49,z
0.53,0.70,0.73,-20.57,45.72,-95.52,z
0.68,0.71,0.71,-26.37,50.35,-85.39,z
0.61,0.92,0.74,-32.65,25.15,-84.05,z
0.57,0.96,0.86,-15.69,37.78,-60.73,z
0.72,0.84,0.89,5.13,31.56,-34.12,z
0.70,0.65,0.91,11.84,0.49,-6.71,z
0.59,0.69,0.91,9.16,-9.46,15.08,z
0.54,0.57,0.84,14.16,-13.24,38.39,z
